iter	Logloss
0	0.6812589027
1	0.669234834
2	0.6583752517
3	0.6481893894
4	0.6375032856
5	0.6283884937
6	0.6165743365
7	0.6064453041
8	0.5955410214
9	0.5862461409
10	0.5758999899
11	0.5665579001
12	0.5565176557
13	0.5480506335
14	0.5396307553
15	0.531183802
16	0.5238097863
17	0.5156036765
18	0.5084232477
19	0.5008255943
20	0.4941892822
21	0.486126825
22	0.477896114
23	0.4707146968
24	0.4627509847
25	0.4549113404
26	0.4489757259
27	0.4428753971
28	0.4359532603
29	0.4284761181
30	0.421768508
31	0.4164015995
32	0.4115034609
33	0.4066729278
34	0.3998819094
35	0.3938963543
36	0.3875151347
37	0.3824648004
38	0.376395204
39	0.3713527322
40	0.3659248689
41	0.360468835
42	0.3549920564
43	0.3503052548
44	0.3459390767
45	0.3413756066
46	0.3370807361
47	0.3323000001
48	0.3284261788
49	0.3238551031
50	0.3196843423
51	0.3155457601
52	0.3115228365
53	0.3067998707
54	0.3032007371
55	0.2995510674
56	0.295781665
57	0.29219985
58	0.287924336
59	0.2840593175
60	0.2796042977
61	0.2762384565
62	0.2726494845
63	0.2695436645
64	0.266241558
65	0.2633373005
66	0.2598715215
67	0.256195159
68	0.2526641312
69	0.2505798417
70	0.2473796459
71	0.2445632729
72	0.2414643633
73	0.2391225019
74	0.2365649492
75	0.2343140751
76	0.2315191096
77	0.2283734163
78	0.2256340543
79	0.2235410979
80	0.2206294926
81	0.2181028971
82	0.2153958969
83	0.2131443463
84	0.2114667747
85	0.2092982143
86	0.2068851877
87	0.2045856261
88	0.2023823901
89	0.2003707921
90	0.1987801864
91	0.1969646659
92	0.1950072545
93	0.1934816962
94	0.1915668153
95	0.1895524969
96	0.1878241157
97	0.1858800198
98	0.1836434902
99	0.1822436074
100	0.1804894687
101	0.178794737
102	0.177567063
103	0.1760492172
104	0.1743542908
105	0.1728144605
106	0.1710829068
107	0.1694051211
108	0.1681770299
109	0.16613835
110	0.1646665117
111	0.1628389467
112	0.1617919933
113	0.1603502594
114	0.1587318205
115	0.1573736379
116	0.1561943069
117	0.1544742222
118	0.1527664372
119	0.1515959238
120	0.1502506468
121	0.1489983422
122	0.1480360931
123	0.1473188465
124	0.1462613225
125	0.144894962
126	0.1438038552
127	0.1425818339
128	0.1410567706
129	0.1396437741
130	0.1388831754
131	0.1377825427
132	0.136415374
133	0.1353055899
134	0.1344436675
135	0.1336285307
136	0.1325261333
137	0.1313965225
138	0.1302764343
139	0.1291545734
140	0.1280014285
141	0.1270032632
142	0.1262740628
143	0.125315474
144	0.124156709
145	0.1233341294
146	0.1222305241
147	0.1213149221
148	0.1205847084
149	0.1199522941
150	0.1192145346
